id_article;date_
0;17/08/2015
1;29/01/2015
2;13/11/2014
3;06/01/2015
4;14/11/2014
5;02/02/2015
6;17/09/2014
7;21/06/2014
8;19/06/2014
9;04/06/2014
10;03/06/2014
11;30/07/2015
12;02/06/2014
13;16/05/2014
14;15/05/2014
15;20/01/2014
16;14/11/2013
17;14/10/2013
18;07/10/2013
19;03/10/2013
20;02/10/2013
21;27/09/2013
22;05/06/2015
23;24/06/2013
24;14/05/2013
25;19/04/2013
26;08/02/2013
27;25/06/2012
28;18/06/2012
29;26/10/2011
30;19/10/2011
31;13/10/2011
32;13/10/2011
33;04/06/2015
34;12/10/2011
35;17/06/2011
36;01/06/2011
37;11/05/2011
38;05/04/2011
39;31/03/2011
40;16/12/2010
41;03/12/2010
42;03/12/2010
43;03/12/2010
44;03/06/2015
45;03/12/2010
46;02/12/2010
47;02/12/2010
48;02/12/2010
49;27/10/2010
50;03/06/2015
51;29/05/2015
52;29/05/2015
53;28/05/2015
54;17/12/2010
55;29/05/2016
56;09/01/2014
57;18/10/2013
58;07/09/2015
59;21/02/2012
60;29/10/2010
61;05/01/2015
62;14/05/2015
63;18/11/2014
64;28/10/2010
65;23/06/2011
66;22/11/2018
67;03/12/2015
68;05/02/2011
69;11/06/2015
70;17/07/2018
71;09/10/2014
72;21/05/2015
73;03/12/2010
74;13/12/2016
75;16/06/2017
76;22/06/2013
77;15/11/2017
78;12/08/2017
79;24/09/2015
80;25/02/2012
81;13/05/2015
82;14/03/2011
83;10/04/2017
84;18/09/2014
85;12/08/2013
86;03/12/2010
87;11/05/2011
88;03/11/2013
89;12/10/2017
90;02/06/2014
91;31/12/2015
92;18/10/2010
93;18/10/2010
94;20/03/2012
95;10/10/2013
96;01/12/2017
97;12/06/2014
98;30/01/2013
99;30/07/2014
100;19/12/2014
101;22/04/2013
102;13/06/2015
103;09/01/2014
104;14/11/2014
105;25/12/2013
106;09/02/2019
107;24/06/2014
108;11/12/2012
109;01/02/2019
110;15/06/2014
111;17/11/2010
112;02/09/2011
113;06/06/2017
114;06/01/2011
115;02/04/2013
116;18/01/2019
117;31/05/2011
118;16/03/2017
119;22/01/2015
120;20/03/2012
121;01/06/2014
122;18/01/2019
123;11/08/2017
124;03/12/2010
125;14/10/2015
126;08/12/2010
127;27/09/2017
128;19/11/2013
129;10/12/2016
130;10/06/2015
131;19/06/2015
132;17/02/2014
133;18/11/2010
134;27/05/2015
135;05/06/2017
136;02/07/2014
137;01/12/2017
138;16/10/2014
139;31/05/2012
140;31/05/2012
141;12/10/2017
142;07/12/2010
143;20/10/2013
144;20/01/2014
145;27/05/2015
146;15/01/2015
147;06/06/2017
148;19/06/2015
149;14/06/2018
150;06/01/2014
151;11/08/2017
152;08/07/2014
153;09/08/2017
154;11/02/2014
155;31/01/2013
156;04/06/2015
157;21/12/2016
158;13/01/2017
159;06/06/2017
160;07/06/2018
161;22/06/2013
162;10/06/2018
163;05/01/2013
164;14/06/2018
165;25/06/2014
166;22/04/2016
167;29/05/2018
168;24/06/2013
169;30/11/2010
170;10/06/2014
171;27/08/2014
172;25/04/2011
173;16/03/2018
174;14/03/2012
175;14/09/2015
176;01/06/2011
177;06/07/2015
178;12/06/2014
179;21/01/2011
180;01/12/2017
181;28/05/2015
182;23/10/2013
183;01/04/2015
184;10/01/2017
185;28/10/2015
186;05/10/2015
187;25/06/2015
188;25/04/2014
189;03/06/2015
190;31/05/2018
191;13/06/2018
192;16/03/2017
193;01/06/2015
194;25/09/2018
195;29/09/2015
196;18/10/2013
197;27/05/2015
198;01/12/2010
199;05/06/2014
200;28/05/2018
201;16/06/2017
202;06/10/2015
203;01/10/2015
204;15/05/2014
205;08/04/2016
206;25/02/2012
207;05/06/2015
208;28/05/2015
209;31/12/2014
210;02/06/2014
211;17/12/2018
212;15/11/2017
213;03/03/2012
214;29/04/2015
215;07/12/2017
216;28/05/2015
217;09/10/2015
218;19/10/2015
219;17/09/2015
220;13/10/2016
221;09/06/2014
222;18/04/2018
223;03/06/2015
224;22/12/2015
225;19/09/2014
226;14/05/2015
227;03/06/2015
228;12/11/2015
229;10/12/2017
230;13/06/2018
231;29/08/2014
232;19/06/2015
233;29/07/2015
234;18/09/2015
235;12/02/2016
236;06/06/2016
237;15/01/2015
238;31/05/2015
239;29/05/2015
240;04/12/2010
241;31/12/2011
242;05/02/2013
243;04/12/2013
244;12/09/2017
245;01/03/2012
246;23/04/2018
247;06/06/2016
248;02/07/2014
249;30/12/2010
250;17/06/2017
251;20/08/2015
252;12/11/2014
253;07/02/2011
254;21/03/2014
255;19/10/2015
256;20/08/2014
257;13/06/2018
258;29/01/2015
259;18/11/2016
260;28/05/2015
261;05/07/2018
262;27/08/2015
263;29/05/2015
264;08/03/2018
265;03/10/2013
266;26/03/2011
267;05/05/2015
268;27/05/2015
269;06/06/2014
270;10/11/2017
271;19/01/2017
272;14/09/2015
273;26/10/2013
274;31/12/2014
275;12/05/2011
276;09/12/2014
277;07/02/2011
278;06/02/2019
279;09/10/2015
280;06/11/2014
281;29/08/2015
282;28/05/2015
283;28/02/2017
284;12/11/2015
285;28/08/2014
286;05/01/2011
287;19/09/2014
288;12/11/2014
289;25/01/2019
290;19/06/2015
291;15/11/2018
292;03/12/2010
293;27/06/2017
294;08/02/2015
295;07/06/2015
296;05/06/2015
