date_;year_;month_;day_
17/08/2015;2015;8;17
29/01/2015;2015;1;29
13/11/2014;2014;11;13
06/01/2015;2015;1;6
14/11/2014;2014;11;14
02/02/2015;2015;2;2
17/09/2014;2014;9;17
21/06/2014;2014;6;21
19/06/2014;2014;6;19
04/06/2014;2014;6;4
03/06/2014;2014;6;3
30/07/2015;2015;7;30
02/06/2014;2014;6;2
16/05/2014;2014;5;16
15/05/2014;2014;5;15
20/01/2014;2014;1;20
14/11/2013;2013;11;14
14/10/2013;2013;10;14
07/10/2013;2013;10;7
03/10/2013;2013;10;3
02/10/2013;2013;10;2
27/09/2013;2013;9;27
05/06/2015;2015;6;5
24/06/2013;2013;6;24
14/05/2013;2013;5;14
19/04/2013;2013;4;19
08/02/2013;2013;2;8
25/06/2012;2012;6;25
18/06/2012;2012;6;18
26/10/2011;2011;10;26
19/10/2011;2011;10;19
13/10/2011;2011;10;13
04/06/2015;2015;6;4
12/10/2011;2011;10;12
17/06/2011;2011;6;17
01/06/2011;2011;6;1
11/05/2011;2011;5;11
05/04/2011;2011;4;5
31/03/2011;2011;3;31
16/12/2010;2010;12;16
03/12/2010;2010;12;3
03/06/2015;2015;6;3
02/12/2010;2010;12;2
27/10/2010;2010;10;27
29/05/2015;2015;5;29
28/05/2015;2015;5;28
17/12/2010;2010;12;17
29/05/2016;2016;5;29
09/01/2014;2014;1;9
18/10/2013;2013;10;18
07/09/2015;2015;9;7
21/02/2012;2012;2;21
29/10/2010;2010;10;29
05/01/2015;2015;1;5
14/05/2015;2015;5;14
18/11/2014;2014;11;18
28/10/2010;2010;10;28
23/06/2011;2011;6;23
22/11/2018;2018;11;22
03/12/2015;2015;12;3
05/02/2011;2011;2;5
11/06/2015;2015;6;11
09/10/2014;2014;10;9
21/05/2015;2015;5;21
13/12/2016;2016;12;13
16/06/2017;2017;6;16
22/06/2013;2013;6;22
15/11/2017;2017;11;15
12/08/2017;2017;8;12
24/09/2015;2015;9;24
25/02/2012;2012;2;25
13/05/2015;2015;5;13
14/03/2011;2011;3;14
10/04/2017;2017;4;10
18/09/2014;2014;9;18
12/08/2013;2013;8;12
03/11/2013;2013;11;3
12/10/2017;2017;10;12
31/12/2015;2015;12;31
18/10/2010;2010;10;18
20/03/2012;2012;3;20
10/10/2013;2013;10;10
01/12/2017;2017;12;1
12/06/2014;2014;6;12
30/01/2013;2013;1;30
30/07/2014;2014;7;30
19/12/2014;2014;12;19
22/04/2013;2013;4;22
13/06/2015;2015;6;13
25/12/2013;2013;12;25
09/02/2019;2019;2;9
24/06/2014;2014;6;24
11/12/2012;2012;12;11
01/02/2019;2019;2;1
15/06/2014;2014;6;15
17/11/2010;2010;11;17
02/09/2011;2011;9;2
06/06/2017;2017;6;6
06/01/2011;2011;1;6
02/04/2013;2013;4;2
18/01/2019;2019;1;18
31/05/2011;2011;5;31
16/03/2017;2017;3;16
22/01/2015;2015;1;22
01/06/2014;2014;6;1
11/08/2017;2017;8;11
14/10/2015;2015;10;14
08/12/2010;2010;12;8
27/09/2017;2017;9;27
19/11/2013;2013;11;19
10/12/2016;2016;12;10
10/06/2015;2015;6;10
19/06/2015;2015;6;19
17/02/2014;2014;2;17
18/11/2010;2010;11;18
27/05/2015;2015;5;27
05/06/2017;2017;6;5
02/07/2014;2014;7;2
16/10/2014;2014;10;16
31/05/2012;2012;5;31
07/12/2010;2010;12;7
20/10/2013;2013;10;20
15/01/2015;2015;1;15
14/06/2018;2018;6;14
06/01/2014;2014;1;6
08/07/2014;2014;7;8
09/08/2017;2017;8;9
11/02/2014;2014;2;11
31/01/2013;2013;1;31
21/12/2016;2016;12;21
13/01/2017;2017;1;13
07/06/2018;2018;6;7
10/06/2018;2018;6;10
05/01/2013;2013;1;5
25/06/2014;2014;6;25
22/04/2016;2016;4;22
29/05/2018;2018;5;29
30/11/2010;2010;11;30
10/06/2014;2014;6;10
27/08/2014;2014;8;27
25/04/2011;2011;4;25
16/03/2018;2018;3;16
14/03/2012;2012;3;14
14/09/2015;2015;9;14
06/07/2015;2015;7;6
21/01/2011;2011;1;21
23/10/2013;2013;10;23
01/04/2015;2015;4;1
10/01/2017;2017;1;10
28/10/2015;2015;10;28
05/10/2015;2015;10;5
25/06/2015;2015;6;25
25/04/2014;2014;4;25
31/05/2018;2018;5;31
13/06/2018;2018;6;13
01/06/2015;2015;6;1
25/09/2018;2018;9;25
29/09/2015;2015;9;29
01/12/2010;2010;12;1
05/06/2014;2014;6;5
28/05/2018;2018;5;28
06/10/2015;2015;10;6
01/10/2015;2015;10;1
08/04/2016;2016;4;8
31/12/2014;2014;12;31
17/12/2018;2018;12;17
03/03/2012;2012;3;3
29/04/2015;2015;4;29
07/12/2017;2017;12;7
09/10/2015;2015;10;9
19/10/2015;2015;10;19
17/09/2015;2015;9;17
13/10/2016;2016;10;13
09/06/2014;2014;6;9
18/04/2018;2018;4;18
22/12/2015;2015;12;22
19/09/2014;2014;9;19
12/11/2015;2015;11;12
10/12/2017;2017;12;10
29/08/2014;2014;8;29
29/07/2015;2015;7;29
18/09/2015;2015;9;18
12/02/2016;2016;2;12
31/05/2015;2015;5;31
04/12/2010;2010;12;4
31/12/2011;2011;12;31
05/02/2013;2013;2;5
04/12/2013;2013;12;4
12/09/2017;2017;9;12
01/03/2012;2012;3;1
23/04/2018;2018;4;23
06/06/2016;2016;6;6
30/12/2010;2010;12;30
17/06/2017;2017;6;17
20/08/2015;2015;8;20
12/11/2014;2014;11;12
